id,brand,model,type,availability,link,image_link
MX3157-yamaha-crypton-115-fi,Yamaha,Crypton 115 FI,Motoneta,in stock,https://www.galgo.com/MX/motos/MX3157-yamaha-crypton-115-fi,https://images.ctfassets.net/8zlbnewncp6f/7LkpeGq4ParAmC2nKy6PK1/0dbf56ae4aca73b2d70b5550d6013dcb/Yamaha_Crypton_115_FI_Imagen_principal_Galgo.png
MX1017-honda-cbf-160,Honda,CBF 160,Naked,in stock,https://www.galgo.com/MX/motos/MX1017-honda-cbf-160,https://images.ctfassets.net/8zlbnewncp6f/7f9bVpz3F5qXOhNLUpO8BJ/2a45a9f6558dda88e564b01d26fb4996/Honda_CBF_160_-_Galgo_M_xico_Principal.jpg
MX3100-hero-xpulse-200-4v,Hero,Xpulse 200 4V,Doble Propósito,out of stock,https://www.galgo.com/MX/motos/MX3100-hero-xpulse-200-4v,https://images.ctfassets.net/8zlbnewncp6f/7laI5Z9mKxPLICy5zB6lQI/bf6b35fd6286e07de79962a66a987be7/Hero_Xpulse_200_4V_Pro_Imagen_principal_Galgo_México.png
MX883-cf-moto-450-sr,CF Moto,450 SR,Deportiva,out of stock,https://www.galgo.com/MX/motos/MX883-cf-moto-450-sr,https://images.ctfassets.net/8zlbnewncp6f/64sOtp6MsxkQ5m8l4IG8xU/9718ed7e1fe2834be5825dfe5d5da591/Galeria1_Galgo_Chile.jpg
MX398-vento-alpina-300,Vento,Alpina 300,Touring,out of stock,https://www.galgo.com/MX/motos/MX398-vento-alpina-300,https://images.ctfassets.net/8zlbnewncp6f/2GWYJDrJDeF7uQtxPOCtSG/784eac992d07059ef01b388f5ab4a094/Vento-Alpina-300.jpg
MX2969-italika-ws-150-sport-marino,Italika,WS 150 Sport Marino,Motoneta,out of stock,https://www.galgo.com/MX/motos/MX2969-italika-ws-150-sport-marino,https://images.ctfassets.net/8zlbnewncp6f/7ww8TKAymDfWIgYq9eeMxK/d3dd6f1a8e842e0212f624ef38e83556/Italika_WS_150_Sport_Marino_Imagen_principal_Galgo_México.webp
MX2693-cf-moto-500sr-voom,CF Moto,500SR VOOM,Deportiva,in stock,https://www.galgo.com/MX/motos/MX2693-cf-moto-500sr-voom,https://images.ctfassets.net/8zlbnewncp6f/1DMHHdyRnrF5sQUmlwA2EB/55458049c6beb947543ebbaf2cfcba56/CF_Moto_500SR_VOOM.jpg
MX2461-vento-storm-300-2-0,Vento,Storm 300 2.0,Naked,in stock,https://www.galgo.com/MX/motos/MX2461-vento-storm-300-2-0,https://images.ctfassets.net/8zlbnewncp6f/5tddRSnSCzbDiDkPN1CRqV/a4f9f92bfe242845d453b65781899b36/19-storm_300.png
MX3049-bds-magma-150,BDS,Magma 150,Motoneta,in stock,https://www.galgo.com/MX/motos/MX3049-bds-magma-150,https://images.ctfassets.net/8zlbnewncp6f/2h2yCL3A6aW4JvkAeTZ3uy/ed4551bcf3518d9c1f89c8341e2d0ef9/Imagen_principal.png
MX2998-daytona-gpr1,Daytona,GP 1 R 250,Deportiva,in stock,https://www.galgo.com/MX/motos/MX2998-daytona-gpr1,https://images.ctfassets.net/8zlbnewncp6f/2CwDPpCBMs8k1MYh4tyZS7/57341ffb1f53d182a544f2b90efc33a6/Imagen_principal__15_.png
MX2928-vento-dakar-300,Vento,Dakar 300S,Doble Propósito,out of stock,https://www.galgo.com/MX/motos/MX2928-vento-dakar-300,https://images.ctfassets.net/8zlbnewncp6f/3UjUgl9DquIOWMNet5eg9i/28bcd9506ec7a723f442024051898707/Vento_Dakar_300_Imagen_principal_Galgo_México.png
MX513-honda-xr-150,Honda,XR 150L,Doble Propósito,in stock,https://www.galgo.com/MX/motos/MX513-honda-xr-150,https://images.ctfassets.net/8zlbnewncp6f/17UzCxFW2ZNqQQqD6AyIpS/6fa2cca5ea6cf1b3fb2ad1bbb549bd0f/Imagen_principal__24_.png
MX1793-hero-dash-125,Hero,Dash 125,Motoneta,in stock,https://www.galgo.com/MX/motos/MX1793-hero-dash-125,https://images.ctfassets.net/8zlbnewncp6f/4rUhlMwVvrsZ2hjRN0bDhP/ca2842feff26cfad22d3b9a2948b3f7e/hero-dash-125-primer-plano.png
MX2099-vento-crossmax-170,Vento,Crossmax 170,Doble Propósito,out of stock,https://www.galgo.com/MX/motos/MX2099-vento-crossmax-170,https://images.ctfassets.net/8zlbnewncp6f/658KJh7fxAsiMt5fzn9PLV/30314bbf49a958f37fd96da2f594d2d5/vento-crossmax-170-primer-plano.png
MX975-vento-crossmax-220,Vento,Crossmax 220,Doble Propósito,in stock,https://www.galgo.com/MX/motos/MX975-vento-crossmax-220,https://images.ctfassets.net/8zlbnewncp6f/4QFSUWEa4sMy9No4wg8fjB/6106d9be4f95b69a71b63e7d4e98a3ee/Vento_Crossmax_220_-_Galgo_M_xico_Principal.jpg
MX3153-piston-n400,Piston,N400,Naked,in stock,https://www.galgo.com/MX/motos/MX3153-piston-n400,https://images.ctfassets.net/8zlbnewncp6f/KKJNczD9QpTAhbPr8wU2A/1297a0960ba93fba048c902848033485/Imagen_principal__33_.png
MX2272-cf-moto-450-nk,CF Moto,450 NK,Naked,in stock,https://www.galgo.com/MX/motos/MX2272-cf-moto-450-nk,https://images.ctfassets.net/8zlbnewncp6f/5CMudBVi4jZRUaKAUWnqkt/0af00f7707113e45a61b3142dba5ba15/04.CF_MOTOS_450NK.jpg
MX415-vento-intrepid,Vento,Intrepid SX 125,Motoneta,in stock,https://www.galgo.com/MX/motos/MX415-vento-intrepid,https://images.ctfassets.net/8zlbnewncp6f/74MOhRoch7iCyTisNLLeTZ/6b680a8445e1857e8d70e50c48657a9d/Imagen_principal_Galgo_Chile.jpg
MX1004-vento-nitrox-250-t3,Vento,Nitrox 250 T3,Naked,in stock,https://www.galgo.com/MX/motos/MX1004-vento-nitrox-250-t3,https://images.ctfassets.net/8zlbnewncp6f/54XZJ3B0R456I5LcaeKLuD/f63425ac1fecf6ef6be3c8230e451edd/Vento_Nitrox_250_T3_Galgo_M_xico.png
MX411-vento-gts-300,Vento,GTS 300,Touring,in stock,https://www.galgo.com/MX/motos/MX411-vento-gts-300,https://images.ctfassets.net/8zlbnewncp6f/4WRGbigxJT6km4g6OkXNLR/0a4f604d26051eed778adb2372c40c10/Vento-GTs-300.jpg
MX3098-bajaj-pulsar-n-125,Bajaj,Pulsar N 125 FI CBS,Naked,out of stock,https://www.galgo.com/MX/motos/MX3098-bajaj-pulsar-n-125,https://images.ctfassets.net/8zlbnewncp6f/3ZFcON0QpmSCc2koYYtuHE/e1d857c00ec5a60a0e5fc3375adbcaac/Bajaj_Pulsar_N_125_Imagen_principal_Galgo_México_1.png
MX3093-vento-cougar-250,Vento,Cougar 250,Trabajo,in stock,https://www.galgo.com/MX/motos/MX3093-vento-cougar-250,https://images.ctfassets.net/8zlbnewncp6f/60gwzU8uWEh6E3LwjbQVPi/e5efda4b86ca6b46773cd8991eff5887/Vento_Cougar_250_Imagen_principal_Galgo_México.png
MX329-bajaj-pulsar-n-250,Bajaj,Pulsar N 250,Naked,in stock,https://www.galgo.com/MX/motos/MX329-bajaj-pulsar-n-250,https://images.ctfassets.net/8zlbnewncp6f/4RxbRFRNzlhu2RJfqBgeF7/e472da1e62b85dd6c55fb5845eafe0a5/bajaj-pulsar-n250-primer-plano.jpg
MX1963-vento-xpress-170-sport,Vento,Xpress Sport 170,Trabajo,in stock,https://www.galgo.com/MX/motos/MX1963-vento-xpress-170-sport,https://images.ctfassets.net/8zlbnewncp6f/2nkmbgJ3FwVwdIVtpv5451/41f04d8a6b6ce83c3123bbec6e32178b/Vento_XPRESS_170_Sport_1.png
MX3142-tvs-duramax,TVS,Duramax,Trimoto,in stock,https://www.galgo.com/MX/motos/MX3142-tvs-duramax,https://images.ctfassets.net/8zlbnewncp6f/4QWctrWxLUxFWFxJQQPCIF/fb6fb79f9ae0423ba64c03d919f4cc8c/TVS_Duramax_Imagen_principal_Galgo.jpg
